country,iso3,yearbirth,durw_lag3,durw_lag2,durw_lag1,durw,durw_lead1,durw_lead2,durw_lead3,ftew_lag3,ftew_lag2,ftew_lag1,ftew,ftew_lead1,ftew_lead2,ftew_lead3,ilow_lag3,ilow_lag2,ilow_lag1,ilow,ilow_lead1,ilow_lead2,ilow_lead3,wrrw_lag1,lfp,gdpcapita,thecapita,phecapita
Kenya,KEN,2000,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,100,41.400002,500.96338,53.310631,24.667082
Kenya,KEN,2001,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,100,40.200001,506.28458,54.417053,24.338076
Kenya,KEN,2002,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,100,39,495.5686,53.182003,22.77062
Kenya,KEN,2003,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,100,37.900002,496.49301,53.351929,23.130665
Kenya,KEN,2004,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,100,36.900002,507.90982,54.171555,22.676634
Kenya,KEN,2005,8.6,8.6,8.6,8.6,8.6,8.6,12.9,8.6,8.6,8.6,8.6,8.6,8.6,12.9,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,12.8999996185303,100,35.900002,523.61377,58.750675,24.846521
Kenya,KEN,2006,8.6,8.6,8.6,8.6,8.6,12.9,12.9,8.6,8.6,8.6,8.6,8.6,12.9,12.9,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,12.8999996185303,12.8999996185303,100,35.900002,542.04242,65.007935,26.848835
Kenya,KEN,2007,8.6,8.6,8.6,8.6,12.9,12.9,12.9,8.6,8.6,8.6,8.6,12.9,12.9,12.9,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,12.8999996185303,12.8999996185303,12.8999996185303,100,36,564.66681,68.334702,28.963404
Kenya,KEN,2008,8.6,8.6,8.6,12.9,12.9,12.9,12.9,8.6,8.6,8.6,12.9,12.9,12.9,12.9,8.60000038146973,8.60000038146973,8.60000038146973,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,100,36,558.19324,65.405945,25.808376
Cambodia,KHM,1998,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,6.45,6.45,6.45,6.45,6.45,12.8999996185303,12.8999996185303,0,0,0,0,0,50,,,,
Cambodia,KHM,1999,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,6.45,6.45,6.45,6.45,6.45,6.45,12.8999996185303,0,0,0,0,0,0,50,71.800003,309.52475,52.044464,9.4630766
Cambodia,KHM,2000,12.9,12.9,12.9,12.9,12.9,12.9,12.9,6.45,6.45,6.45,6.45,6.45,6.45,6.45,0,0,0,0,0,0,0,50,71.699997,329.43262,58.125778,11.874233
Cambodia,KHM,2001,12.9,12.9,12.9,12.9,12.9,12.9,12.9,6.45,6.45,6.45,6.45,6.45,6.45,6.45,0,0,0,0,0,0,0,50,72.699997,348.78867,62.396606,12.478931
Cambodia,KHM,2002,12.9,12.9,12.9,12.9,12.9,12.9,12.9,6.45,6.45,6.45,6.45,6.45,6.45,6.45,0,0,0,0,0,0,0,50,73.800003,365.18347,68.352737,15.715331
Cambodia,KHM,2003,12.9,12.9,12.9,12.9,12.9,12.9,12.9,6.45,6.45,6.45,6.45,6.45,6.45,6.45,0,0,0,0,0,0,0,50,75.099998,389.35168,85.529419,27.382895
Cambodia,KHM,2004,12.9,12.9,12.9,12.9,12.9,12.9,12.9,6.45,6.45,6.45,6.45,6.45,6.45,6.45,0,0,0,0,0,0,0,50,76.400002,422.58774,92.656837,29.8612
Cambodia,KHM,2005,12.9,12.9,12.9,12.9,12.9,12.9,12.9,6.45,6.45,6.45,6.45,6.45,6.45,6.45,0,0,0,0,0,0,0,50,76.099998,471.16251,105.09562,23.10388
Cambodia,KHM,2006,12.9,12.9,12.9,12.9,12.9,12.9,12.9,6.45,6.45,6.45,6.45,6.45,6.45,6.45,0,0,0,0,0,0,0,50,75.900002,514.26398,96.049248,20.463049
Cambodia,KHM,2007,12.9,12.9,12.9,12.9,12.9,12.9,12.9,6.45,6.45,6.45,6.45,6.45,6.45,6.45,0,0,0,0,0,0,0,50,75.5,558.85797,83.849998,18.603712
Cambodia,KHM,2008,12.9,12.9,12.9,12.9,12.9,12.9,12.9,6.45,6.45,6.45,6.45,6.45,6.45,6.45,0,0,0,0,0,0,0,50,75,587.98969,111.44393,20.91526
Lesotho,LSO,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Lesotho,LSO,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.099998,613.88049,62.706367,30.443819
Lesotho,LSO,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.599998,639.65912,68.480194,35.069115
Lesotho,LSO,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,661.26996,79.560883,46.200008
Lesotho,LSO,2002,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,51.5,659.85883,74.139732,41.119305
Lesotho,LSO,2003,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,49.099998,685.98584,77.859741,45.475578
Lesotho,LSO,2004,0,0,0,0,2,2,6,0,0,0,0,2,2,6,0,0,0,0,2,2,6,0,46.700001,696.83893,87.541527,45.209721
Lesotho,LSO,2005,0,0,0,2,2,6,6,0,0,0,2,2,6,6,0,0,0,2,2,6,6,0,44.400002,710.54834,83.87513,39.946339
Lesotho,LSO,2006,0,0,2,2,6,6,12,0,0,2,2,6,6,12,0,0,2,2,6,6,12,100,42.200001,735.59009,99.86348,53.746712
Lesotho,LSO,2007,0,2,2,6,6,12,12,0,2,2,6,6,12,12,0,2,2,6,6,12,12,100,40,764.35419,124.9532,76.897423
Lesotho,LSO,2008,2,2,6,6,12,12,12,2,2,6,6,12,12,12,2,2,6,6,12,12,12,100,37.900002,801.45154,138.86746,89.029045
Madagascar,MDG,1998,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,100,,,,
Madagascar,MDG,1999,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,100,74.300003,281.58969,24.749861,15.120462
Madagascar,MDG,2000,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,100,74.300003,285.96295,29.77891,19.798782
Madagascar,MDG,2001,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,100,74.199997,294.00403,32.289375,22.357714
Madagascar,MDG,2002,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,100,74,249.06821,27.918098,18.740932
Madagascar,MDG,2003,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,100,73.699997,265.36472,27.81152,17.825834
Madagascar,MDG,2004,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,100,73.400002,271.16837,30.193691,19.741026
Madagascar,MDG,2005,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,100,73.199997,275.47672,32.112316,21.333942
Madagascar,MDG,2006,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,100,72.900002,281.07986,36.140991,24.204063
Madagascar,MDG,2007,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,100,72.699997,290.22116,40.132126,26.580381
Madagascar,MDG,2008,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,100,72.5,302.23779,37.510448,22.971022
Malawi,MWI,1998,0,0,0,0,0,8,8,0,0,0,0,0,8,8,0,0,0,0,0,8,8,0,,,,
Malawi,MWI,1999,0,0,0,0,8,8,8,0,0,0,0,8,8,8,0,0,0,0,8,8,8,0,59.900002,224.02043,38.222813,13.33968
Malawi,MWI,2000,0,0,0,8,8,8,8,0,0,0,8,8,8,8,0,0,0,8,8,8,8,0,61.700001,221.3448,35.929428,16.447277
Malawi,MWI,2001,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,100,63.400002,204.87395,28.422329,12.409827
Malawi,MWI,2002,0,8,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,8,100,65,203.05281,27.206591,16.431301
Malawi,MWI,2003,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,100,66.599998,208.76031,37.583534,27.110044
Malawi,MWI,2004,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,100,68.199997,213.13557,48.879536,35.751842
Malawi,MWI,2005,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,100,69.900002,213.15668,52.887569,39.11816
Malawi,MWI,2006,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,100,67.5,211.29413,62.644928,43.154263
Malawi,MWI,2007,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,100,65,224.49602,51.792938,34.303085
Malawi,MWI,2008,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,100,66,235.91484,69.650703,50.646702
Nigeria,NGA,1998,12,12,12,12,12,12,12,6,6,6,6,6,6,6,0,0,0,0,0,0,0,50,,,,
Nigeria,NGA,1999,12,12,12,12,12,12,12,6,6,6,6,6,6,6,0,0,0,0,0,0,0,50,29.6,660.17889,69.441528,20.224733
Nigeria,NGA,2000,12,12,12,12,12,12,12,6,6,6,6,6,6,6,0,0,0,0,0,0,0,50,30.5,678.58618,59.984394,20.071066
Nigeria,NGA,2001,12,12,12,12,12,12,12,6,6,6,6,6,6,6,0,0,0,0,0,0,0,50,31.5,682.25311,64.39846,20.189196
Nigeria,NGA,2002,12,12,12,12,12,12,12,6,6,6,6,6,6,6,0,0,0,0,0,0,0,50,32.400002,675.55902,52.833294,13.514413
Nigeria,NGA,2003,12,12,12,12,12,12,12,6,6,6,6,6,6,6,0,0,0,0,0,0,0,50,33.400002,726.44696,112.02378,25.097437
Nigeria,NGA,2004,12,12,12,12,12,12,12,6,6,6,6,6,6,6,0,0,0,0,0,0,0,50,34.299999,783.07391,114.61339,37.469734
Nigeria,NGA,2005,12,12,12,12,12,12,12,6,6,6,6,6,6,6,0,0,0,0,0,0,0,50,34.400002,804.15234,115.52331,33.697582
Nigeria,NGA,2006,12,12,12,12,12,12,12,6,6,6,6,6,6,6,0,0,0,0,0,0,0,50,34.400002,831.7887,110.01777,36.240715
Nigeria,NGA,2007,12,12,12,12,12,12,12,6,6,6,6,6,6,6,0,0,0,0,0,0,0,50,34.5,862.14209,140.95103,47.493938
Nigeria,NGA,2008,12,12,12,12,12,12,12,6,6,6,6,6,6,6,0,0,0,0,0,0,0,50,34.5,889.43311,134.66287,50.166046
Nepal,NPL,1998,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,100,,,,
Nepal,NPL,1999,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,100,80.199997,285.58066,44.390259,13.327995
Nepal,NPL,2000,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,100,79.699997,296.8241,43.276855,10.635763
Nepal,NPL,2001,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,100,79.199997,304.87793,44.657921,13.083408
Nepal,NPL,2002,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,100,78.699997,299.57428,46.391323,13.380877
Nepal,NPL,2003,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,100,78.099998,306.02615,47.088684,12.863247
Nepal,NPL,2004,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,100,77.599998,315.26086,54.905548,16.348431
Nepal,NPL,2005,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,100,77.099998,321.45502,58.661381,19.187191
Nepal,NPL,2006,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,100,76.5,327.82132,57.459362,21.030951
Nepal,NPL,2007,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,7.40000009536743,100,75.900002,334.87775,53.127213,19.180786
